ticker,form,filing_date,ret_21d,ret_21d_spy,ret_21d_excess,status
RTX,10-Q,2018-07-27,0.011543894515722686,0.029706573414151505,-0.01816267889842882,ok
CMI,10-Q,2018-07-31,0.015666363070643063,0.03607881744341879,-0.020412454372775723,ok
ETN,10-Q,2018-07-31,0.004809893335707471,0.03607881744341879,-0.031268924107711316,ok
XYL,10-Q,2018-07-31,0.006685039850744756,0.03607881744341879,-0.02939377759267403,ok
FBIN,10-Q,2018-07-31,-0.06913803376365446,0.03607881744341879,-0.10521685120707325,ok
MAS,10-Q,2018-07-31,-0.03917661766635405,0.03607881744341879,-0.07525543510977284,ok
LUV,10-Q,2018-08-01,0.07888012721791848,0.03361106182301743,0.045269065394901054,ok
FLR,10-Q,2018-08-02,0.1144975578285572,0.02804641890402504,0.08645113892453216,ok
HII,10-Q,2018-08-02,0.018379925701107025,0.02804641890402504,-0.009666493202918014,ok
UPS,10-Q,2018-08-02,0.043931207518827176,0.02804641890402504,0.015884788614802137,ok
AME,10-Q,2018-08-02,0.002605721696589347,0.02804641890402504,-0.025440697207435692,ok
PCAR,10-Q,2018-08-03,0.06537924782628224,0.021897113079330843,0.043482134746951395,ok
ITW,10-Q,2018-08-03,-0.004370888119572314,0.021897113079330843,-0.026268001198903157,ok
IR,10-Q,2018-08-03,-0.0393396886330758,0.021897113079330843,-0.06123680171240664,ok
AOS,10-Q,2018-08-06,-0.013637979517925225,0.015422953320389787,-0.029060932838315012,ok
J,10-Q,2018-08-06,0.005116625541858211,0.015422953320389787,-0.010306327778531577,ok
ODFL,10-Q,2018-08-07,0.1291572264425418,0.009034495948457621,0.12012273049408417,ok
CAT,10-Q,2018-08-07,-0.005688963848405448,0.009034495948457621,-0.01472345979686307,ok
PWR,10-Q,2018-08-07,-0.01410058953994664,0.009034495948457621,-0.02313508548840426,ok
BLDR,10-Q,2018-08-08,-0.08852085496710727,0.007496580957339072,-0.09601743592444634,ok
EXPD,10-Q,2018-08-08,0.01934844009988801,0.007496580957339072,0.011851859142548937,ok
ALK,10-Q,2018-08-08,0.047714558406634744,0.007496580957339072,0.04021797744929567,ok
CHRW,10-Q,2018-08-08,0.008655825223127467,0.007496580957339072,0.001159244265788395,ok
FLS,10-Q,2018-08-08,0.14587446615315636,0.007496580957339072,0.13837788519581729,ok
AXON,10-Q,2018-08-09,0.21152865388577013,0.010628821259542898,0.20089983262622724,ok
ADT,10-Q,2018-08-09,0.02007104860843434,0.010628821259542898,0.009442227348891441,ok
LHX,10-K,2018-08-27,0.00892943227943288,0.004873520950283261,0.00405591132914962,ok
DE,10-Q,2018-08-30,0.05739918747940287,0.009474825861409908,0.04792436161799296,ok
NDSN,10-Q,2018-09-04,0.0009338693680300825,0.011147246964568591,-0.010213377596538509,ok
FDX,10-Q,2018-09-17,-0.11555166810126827,-0.026511198889152432,-0.08904046921211584,ok
INFO,10-Q,2018-09-25,,-0.0874635909052276,,missing_price
CPRT,10-K,2018-10-01,-0.07847237287284248,-0.08213083229965978,0.0036584594268173065,ok
CTAS,10-Q,2018-10-05,-0.09305767274762,-0.05013559824922964,-0.04292207449839036,ok
DAL,10-Q,2018-10-11,0.10734204555426818,0.020538774691227335,0.08680327086304085,ok
FAST,10-Q,2018-10-16,0.06320893379504033,-0.03637619617698096,0.09958512997202129,ok
CSX,10-Q,2018-10-17,0.021354923316777796,-0.02649305037471239,0.04784797369149019,ok
DOV,10-Q,2018-10-18,0.04946705525764061,-0.009659742441444519,0.05912679769908513,ok
KSU,10-Q,2018-10-19,,-0.025882085193099202,,missing_price
HON,10-Q,2018-10-19,-0.002804068704580831,-0.025882085193099202,0.02307801648851837,ok
LII,10-Q,2018-10-22,0.09081582050829717,-0.03959841473294312,0.1304142352412403,ok
PNR,10-Q,2018-10-23,0.0730133682245182,-0.03139514953403699,0.1044085177585552,ok
NSC,10-Q,2018-10-24,0.028060285566229748,-0.00780203615667463,0.03586232172290438,ok
GD,10-Q,2018-10-24,0.028977264854490592,-0.00780203615667463,0.03677930101116522,ok
HUBB,10-Q,2018-10-24,0.03685873659552019,-0.00780203615667463,0.04466077275219482,ok
NOC,10-Q,2018-10-24,-0.06741054399771262,-0.00780203615667463,-0.059608507841037994,ok
BA,10-Q,2018-10-24,-0.11529044914081854,-0.00780203615667463,-0.10748841298414391,ok
NLSN,10-Q,2018-10-25,,-0.009552720205305842,,missing_price
LMT,10-Q,2018-10-25,-0.0363239270997725,-0.009552720205305842,-0.02677120689446666,ok
MMM,10-Q,2018-10-25,0.08776080257909391,-0.009552720205305842,0.09731352278439975,ok
AYI,10-K,2018-10-25,0.06312341375864339,-0.009552720205305842,0.07267613396394923,ok
EFX,10-Q,2018-10-25,0.04421564800126099,-0.009552720205305842,0.05376836820656683,ok
ALLE,10-Q,2018-10-25,0.08234897590417845,-0.009552720205305842,0.09190169610948429,ok
FTV,10-Q,2018-10-25,-0.04100603917128598,-0.009552720205305842,-0.03145331896598014,ok
TXT,10-Q,2018-10-25,0.03542804991606774,-0.009552720205305842,0.04498077012137358,ok
AAL,10-Q,2018-10-25,0.1802643922984899,-0.009552720205305842,0.18981711250379574,ok
R,10-Q,2018-10-26,-0.034727752418357793,0.011570402512878664,-0.04629815493123646,ok
LDOS,10-Q,2018-10-26,0.02482452333066809,0.011570402512878664,0.013254120817789428,ok
IR,10-Q,2018-10-29,-0.00938221093742253,0.040627797713592484,-0.050010008651015014,ok
MAS,10-Q,2018-10-30,0.06033905306916654,0.02319163753472897,0.03714741553443757,ok
WAB,10-Q,2018-10-30,0.08404633463749511,0.02319163753472897,0.06085469710276614,ok
GE,10-Q,2018-10-30,-0.22003950280632467,0.02319163753472897,-0.24323114034105364,ok
LUV,10-Q,2018-10-30,0.08301126811116699,0.02319163753472897,0.05981963057643802,ok
ETN,10-Q,2018-10-30,0.0804547903114965,0.02319163753472897,0.05726315277676752,ok
XYL,10-Q,2018-10-30,0.09827504727413094,0.02319163753472897,0.07508340973940197,ok
CMI,10-Q,2018-10-30,0.11144704882066425,0.02319163753472897,0.08825541128593528,ok
CAT,10-Q,2018-10-31,0.11828223716926867,0.018549330195481994,0.09973290697378667,ok
FLR,10-Q,2018-11-01,-0.07264567398483623,0.021169117143764016,-0.09381479112860025,ok
ITW,10-Q,2018-11-01,0.07700627863564558,0.021169117143764016,0.05583716149188156,ok
ALK,10-Q,2018-11-02,0.10145837464741203,-0.006032142722192768,0.1074905173696048,ok
BLDR,10-Q,2018-11-02,-0.15980795170771156,-0.006032142722192768,-0.1537758089855188,ok
PCAR,10-Q,2018-11-02,0.02225425196488251,-0.006032142722192768,0.028286394687075278,ok
AME,10-Q,2018-11-02,-0.007572203005040579,-0.006032142722192768,-0.0015400602828478105,ok
ODFL,10-Q,2018-11-05,0.004296732163868944,-0.01298537701551683,0.017282109179385774,ok
FLS,10-Q,2018-11-07,-0.09318409561128516,-0.06028262709960153,-0.03290146851168363,ok
AXON,10-Q,2018-11-07,-0.12623276981402265,-0.06028262709960153,-0.06595014271442112,ok
EXPD,10-Q,2018-11-07,-0.023378364896607717,-0.06028262709960153,0.03690426220299381,ok
CHRW,10-Q,2018-11-07,-0.033564546820230357,-0.06028262709960153,0.02671808027937117,ok
AOS,10-Q,2018-11-08,-0.08865617513572821,-0.058360094166983956,-0.030296080968744254,ok
HII,10-Q,2018-11-08,-0.08470584503958245,-0.058360094166983956,-0.026345750872598495,ok
ADT,10-Q,2018-11-08,-0.10370379407574981,-0.058360094166983956,-0.045343699908765855,ok
FBIN,10-Q,2018-11-08,-0.04833862513420095,-0.058360094166983956,0.010021469032783004,ok
ROK,10-K,2018-11-09,-0.059845551308109646,-0.044282972086994055,-0.015562579221115591,ok
JCI,10-K,2018-11-20,-0.1088682300274153,-0.08334993374803035,-0.025518296279384955,ok
J,10-K,2018-11-21,-0.15289065850015437,-0.11060116330091241,-0.04228949519924197,ok
COL,10-K,2018-11-26,-0.22222224981696403,-0.06721955778705324,-0.1550026920299108,ok
CPRT,10-Q,2018-11-29,-0.07793461324014972,-0.08153518908318735,0.0036005758430376344,ok
NDSN,10-K,2018-12-14,0.046210136919955236,0.007809263953121537,0.0384008729668337,ok
DE,10-K,2018-12-17,0.10147495132572382,0.035775395090507534,0.06569955623521628,ok
FDX,10-Q,2018-12-18,-0.04378150142680337,0.050713633926813495,-0.09449513535361687,ok
CTAS,10-Q,2019-01-08,0.097470345301929,0.05207034287250689,0.045400002429422104,ok
AYI,10-Q,2019-01-09,0.07306870607589921,0.04845543001754882,0.024613276058350397,ok
INFO,10-K,2019-01-18,,0.04484732581394146,,missing_price
KSU,10-K,2019-01-25,,0.05094480679758617,,missing_price
NOC,10-K,2019-01-31,0.03170581360075442,0.03508317600955668,-0.0033773624088022647,ok
LUV,10-K,2019-02-05,-0.09145997539000839,0.006993651719238381,-0.09845362710924677,ok
