ticker,form,filing_date,ret_21d,status
AVGO,10-Q,2019-06-14,0.07868277522646361,ok
AVGO,10-K,2019-12-20,0.002037637678174775,ok
AVGO,10-Q,2024-06-13,0.012024057520289455,ok
AVGO,10-Q,2024-09-11,0.17710705533972027,ok
AVGO,10-K,2023-12-14,0.0020379133472525623,ok
AVGO,10-Q,2022-09-08,-0.09295950648703799,ok
AVGO,10-Q,2019-03-15,0.09968074051322517,ok
AVGO,10-Q,2021-09-09,0.006022337929138866,ok
AVGO,10-Q,2020-03-13,0.16206617576739246,ok
AVGO,10-Q,2022-06-09,-0.1273943465679359,ok
AVGO,10-Q,2023-06-07,0.11326370361414506,ok
AVGO,10-K,2020-12-18,0.07423605665764255,ok
AVGO,10-Q,2025-03-12,-0.11022303705215508,ok
AVGO,10-Q,2018-09-13,-0.0030623629835609956,ok
AVGO,10-Q,2020-06-12,0.06020334100003133,ok
AVGO,10-Q,2021-06-11,0.03632627435919655,ok
AVGO,10-Q,2024-03-14,0.042781659608096545,ok
AVGO,10-Q,2018-06-14,-0.23275146913334488,ok
BR,10-Q,2024-11-05,0.08066879792738635,ok
BR,10-Q,2024-05-08,0.03979830872200063,ok
BR,10-Q,2016-05-05,0.09015542960827161,ok
BR,10-Q,2021-02-02,-0.05003438880289346,ok
BR,10-Q,2022-05-03,0.008125961325818887,ok
BR,10-Q,2019-05-07,0.11359888112917615,ok
BR,10-Q,2021-05-04,-0.026157474852025797,ok
BR,10-Q,2017-02-08,0.009548402780450882,ok
BR,10-K,2021-08-12,-0.014979787975828662,ok
BR,10-K,2020-08-11,-0.05791297379694993,ok
BR,10-Q,2025-01-31,0.015154042976685211,ok
BR,10-K,2017-08-10,0.1090198218241969,ok
BR,10-K,2019-08-06,0.06892641676049549,ok
BR,10-Q,2019-02-07,0.026834266526911232,ok
BR,10-Q,2017-11-08,-0.010499759726285696,ok
BR,10-K,2016-08-09,0.03526186262954223,ok
BR,10-Q,2021-11-03,0.004709482037409396,ok
BR,10-Q,2024-02-01,0.019491168696115446,ok
BR,10-Q,2018-02-08,0.1964954462860804,ok
BR,10-Q,2018-11-06,-0.0629808557025947,ok
BR,10-Q,2020-05-08,0.05735824009035362,ok
BR,10-Q,2015-11-05,-0.04674667146753253,ok
BR,10-Q,2023-11-02,0.09121410093807802,ok
BR,10-Q,2025-05-01,0.06306740287584756,ok
BR,10-Q,2023-05-02,-0.027795800564018314,ok
BR,10-Q,2020-10-30,0.07885127790780988,ok
BR,10-K,2023-08-08,0.05806867564846452,ok
BR,10-Q,2016-02-04,0.08647819245322386,ok
BR,10-Q,2020-01-31,-0.13957195251952836,ok
BR,10-K,2025-08-05,-0.050163882611811594,ok
BR,10-Q,2017-05-10,0.04918003547509864,ok
BR,10-K,2024-08-06,-0.035232236836553965,ok
BR,10-Q,2016-11-09,0.05808525014798871,ok
BR,10-Q,2022-02-01,-0.04584837823699084,ok
BR,10-Q,2023-02-02,-0.06641039123659265,ok
BR,10-K,2018-08-07,0.06046294427266874,ok
BR,10-K,2022-08-12,-0.0803404928933964,ok
BR,10-Q,2022-11-02,0.08175425275506076,ok
BR,10-Q,2018-05-08,0.05855604062136055,ok
BR,10-Q,2019-11-06,0.05280696062718815,ok
CDNS,10-K,2017-02-10,0.07009819325064703,ok
CDNS,10-K,2023-02-13,0.09283794171504023,ok
CDNS,10-Q,2022-10-24,0.03108223498687357,ok
CDNS,10-K,2019-02-27,0.09051350206933217,ok
CDNS,10-Q,2020-04-20,0.09763625977736745,ok
CDNS,10-Q,2024-10-30,0.0579655088227371,ok
CDNS,10-Q,2021-04-26,-0.11606460763815452,ok
CDNS,10-Q,2022-07-25,0.09298578073104213,ok
CDNS,10-Q,2023-04-24,-0.03389990311549973,ok
CDNS,10-K,2016-02-18,0.11501440378605943,ok
CDNS,10-Q,2018-04-25,0.06749236795395985,ok
CDNS,10-Q,2019-07-22,-0.05326180225063981,ok
CDNS,10-Q,2016-07-25,-0.03406044463195945,ok
CDNS,10-Q,2025-04-30,-0.035836579767995036,ok
CDNS,10-Q,2021-10-25,0.08490175735452321,ok
CDNS,10-K,2021-02-22,-0.03687296130276774,ok
CDNS,10-Q,2016-10-24,0.040015567047565925,ok
CDNS,10-K,2020-02-24,-0.11276088115820604,ok
CDNS,10-Q,2024-04-24,0.06133400041304138,ok
CDNS,10-K,2024-02-14,-0.007647761746538251,ok
CDNS,10-Q,2023-07-24,-0.06532104897643043,ok
CDNS,10-Q,2020-10-19,-0.0007044223615704226,ok
CDNS,10-K,2025-02-21,0.03410233677897434,ok
CDNS,10-Q,2016-04-25,0.059243692966868045,ok
CDNS,10-Q,2019-04-22,0.017754234634837607,ok
CDNS,10-Q,2025-07-30,-0.04511761930153957,ok
CDNS,10-Q,2017-10-26,0.05664789559445338,ok
CDNS,10-Q,2024-07-24,0.03469246212143351,ok
CDNS,10-Q,2015-10-27,0.015172410285335891,ok
